Header,Healthy_vx,Healthy_vy,Healthy_vz,Healthy_px,Healthy_py,Healthy_pz,Healthy_moment_x,Healthy_moment_y,Healthy_moment_z,Prosthesis_vx,Prosthesis_vy,Prosthesis_vz,Prosthesis_px,Prosthesis_py,Prosthesis_pz,Prosthesis_moment_x,Prosthesis_moment_y,Prosthesis_moment_z
1737,-23.6765543619734,21.7946370442701,61.645507812513,0.759346677270026,0.694050699683688,0,43.8639322916713,21.0571289062483,18.1884765624965,123.850504557295,-59.2549641927206,902.09960937497,0.467401937573035,1.06474569777488,0,962.3209583333,-423.400885416663,-162.862145833343
1738,-36.31591796875,7.0953369140625,7.62939453125,1.12010000610352,0,0,9.8876953125,3.96728515625,35.2783203125,139.16015625,-41.656494140625,1000.82397460938,0.46438831648128,1.04088847034103,0,1038.818375,-464.84375,-164.306640625
1739,-25.7364908854109,7.29878743486692,6.61214192705442,1.12010000610352,0,0,9.8063151041366,2.92968749998786,22.9492187500208,141.194661458335,-6.07808430993414,1006.31713867185,0.463097574146801,1.015118810969,0,1026.04164583331,-464.742041666671,-152.77099479167
1740,-30.1869710286505,5.08626302083586,4.83194986980106,1.12010000610352,0,0,8.13802083335473,4.23177083333825,30.5786132812561,139.287312825516,3.00089518228805,939.941406250007,0.463043742334723,0.985570179499663,0,926.350916666686,-433.247885416665,-137.776692708332
1741,0,0,0,1.12010000610352,0,0,0,0,0,127.716064453125,24.0325927734375,870.66650390625,0.463585867904937,0.956744917451089,0,828.369125,-403.44240625,-116.2719765625
1742,0,0,0,1.12010000610352,0,0,0,0,0,127.461751302091,39.5456949869474,884.145100911468,0.463780363145237,0.928827517036731,0,824.951187499972,-411.661791666673,-102.803549479178
1743,0,0,0,1.12010000610352,0,0,0,0,0,133.51440429687,56.9152832031228,963.541666666654,0.464310136265876,0.902441009435894,0,868.77439583333,-446.431479166658,-102.132164062496
1744,-26.397705078125,4.9591064453125,6.7138671875,1.12010000610352,0,0,6.591796875,4.5166015625,24.23095703125,137.405395507813,85.601806640625,1005.70678710938,0.465195735961918,0.873018398681082,0,874.6338125,-467.651375,-85.9375
1745,-8.03629557314507,1.11897786461514,2.13623046881072,1.12010000610352,0,0,3.21451822925803,1.46484375004163,7.28352864604034,128.122965494799,103.83605957031,963.541666666691,0.466669573657651,0.84680410468053,0,815.999375000002,-449.564625000013,-65.734864583342
1746,-12.8936767578201,-29.1188557942473,43.7927246093555,0.750780107274324,1.21705957789248,0,50.821940104147,16.927083333333,26.0823567708278,111.872355143221,97.4782307942723,849.863688151068,0.469019011019907,0.827923656798647,0,706.624333333358,-399.841312500007,-54.6061197916548
